"Libellé";"Indice brut de la production industrielle (base 100 en 2021) - Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes (NAF rév. 2, niveau classe, poste 11.07)";"Codes";"Indice brut de la production industrielle (base 100 en 2021) - Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes (NAF rév. 2, niveau classe, poste 11.07)";"Codes"
"idBank";"010767681";"";"010767681";""
"Mises à jour";"05/04/2024 08:45";"";"05/03/2024 08:45";""
"Période";"";"";"";""
"2024-02";"102.7";"A";"";""
"2024-01";"101.74";"A";"100.91";"A"
"2023-12";"85.08";"A";"85.12";"A"
"2023-11";"90.07";"A";"90.13";"A"
"2023-10";"95.57";"A";"95.58";"A"
"2023-09";"98.79";"A";"98.79";"A"
"2023-08";"107.35";"A";"107.35";"A"
"2023-07";"118.44";"A";"118.44";"A"
"2023-06";"136.07";"A";"136.07";"A"
"2023-05";"115.95";"A";"115.95";"A"
"2023-04";"111.71";"A";"111.71";"A"
"2023-03";"122.13";"A";"122.11";"A"
"2023-02";"94.13";"A";"94.11";"A"
"2023-01";"99.35";"A";"99.32";"A"
"2022-12";"96.7";"A";"96.7";"A"
"2022-11";"91.85";"A";"91.85";"A"
"2022-10";"91.18";"A";"91.18";"A"
"2022-09";"116.91";"A";"116.91";"A"
"2022-08";"118.65";"A";"118.65";"A"
"2022-07";"115.12";"A";"115.12";"A"
"2022-06";"132.54";"A";"132.54";"A"
"2022-05";"118.44";"A";"118.44";"A"
"2022-04";"113.04";"A";"113.04";"A"
"2022-03";"122.55";"A";"122.55";"A"
"2022-02";"92.59";"A";"92.59";"A"
"2022-01";"98.75";"A";"98.75";"A"
"2021-12";"98.3";"A";"98.3";"A"
"2021-11";"87.97";"A";"87.97";"A"
"2021-10";"87.35";"A";"87.35";"A"
"2021-09";"88.93";"A";"88.93";"A"
"2021-08";"95.86";"A";"95.86";"A"
"2021-07";"113.75";"A";"113.75";"A"
"2021-06";"133.59";"A";"133.59";"A"
"2021-05";"101.54";"A";"101.54";"A"
"2021-04";"105.26";"A";"105.26";"A"
"2021-03";"109.56";"A";"109.56";"A"
"2021-02";"85.51";"A";"85.51";"A"
"2021-01";"92.38";"A";"92.38";"A"
"2020-12";"88.35";"A";"88.35";"A"
"2020-11";"81.19";"A";"81.19";"A"
"2020-10";"91.34";"A";"91.34";"A"
"2020-09";"110.71";"A";"110.71";"A"
"2020-08";"111.04";"A";"111.04";"A"
"2020-07";"129.93";"A";"129.93";"A"
"2020-06";"131.52";"A";"131.52";"A"
"2020-05";"87.59";"A";"87.59";"A"
