"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes (NAF rév. 2, niveau classe, poste 11.07)";"Codes";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes (NAF rév. 2, niveau classe, poste 11.07)";"Codes"
"idBank";"010767682";"";"010767682";""
"Mises à jour";"05/04/2024 08:45";"";"05/03/2024 08:45";""
"Période";"";"";"";""
"2024-02";"106.44";"A";"";""
"2024-01";"104.6";"A";"103.59";"A"
"2023-12";"104.0";"A";"103.63";"A"
"2023-11";"103.83";"A";"103.68";"A"
"2023-10";"110.72";"A";"110.67";"A"
"2023-09";"104.51";"A";"104.45";"A"
"2023-08";"104.28";"A";"104.24";"A"
"2023-07";"107.3";"A";"107.27";"A"
"2023-06";"107.25";"A";"107.19";"A"
"2023-05";"106.69";"A";"106.64";"A"
"2023-04";"107.03";"A";"107.08";"A"
"2023-03";"108.72";"A";"109.01";"A"
"2023-02";"106.7";"A";"107.56";"A"
"2023-01";"103.6";"A";"103.49";"A"
"2022-12";"106.96";"A";"106.61";"A"
"2022-11";"108.57";"A";"108.37";"A"
"2022-10";"108.79";"A";"108.73";"A"
"2022-09";"118.96";"A";"118.92";"A"
"2022-08";"116.43";"A";"116.4";"A"
"2022-07";"107.11";"A";"107.04";"A"
"2022-06";"106.86";"A";"106.83";"A"
"2022-05";"103.67";"A";"103.68";"A"
"2022-04";"103.97";"A";"104.01";"A"
"2022-03";"106.77";"A";"107.02";"A"
"2022-02";"105.03";"A";"105.59";"A"
"2022-01";"109.02";"A";"108.99";"A"
"2021-12";"110.98";"A";"110.7";"A"
"2021-11";"106.53";"A";"106.39";"A"
"2021-10";"104.19";"A";"104.13";"A"
"2021-09";"88.78";"A";"88.76";"A"
"2021-08";"95.36";"A";"95.37";"A"
"2021-07";"97.17";"A";"97.2";"A"
"2021-06";"105.43";"A";"105.42";"A"
"2021-05";"100.16";"A";"100.16";"A"
"2021-04";"93.32";"A";"93.38";"A"
"2021-03";"99.09";"A";"99.22";"A"
"2021-02";"97.21";"A";"97.45";"A"
"2021-01";"101.79";"A";"101.82";"A"
"2020-12";"98.82";"A";"98.72";"A"
"2020-11";"99.26";"A";"99.23";"A"
"2020-10";"102.25";"A";"102.24";"A"
"2020-09";"110.56";"A";"110.54";"A"
"2020-08";"117.17";"A";"117.17";"A"
"2020-07";"110.13";"A";"110.14";"A"
"2020-06";"108.93";"A";"108.96";"A"
"2020-05";"83.88";"A";"83.93";"A"
"2020-04";"81.01";"A";"81.06";"A"
"2020-03";"101.15";"A";"101.23";"A"
"2020-02";"101.29";"A";"101.52";"A"
"2020-01";"94.78";"A";"94.83";"A"
"2019-12";"111.0";"A";"110.97";"A"
"2019-11";"103.88";"A";"103.89";"A"
"2019-10";"99.14";"A";"99.16";"A"
"2019-09";"99.12";"A";"99.13";"A"
"2019-08";"100.78";"A";"100.79";"A"
"2019-07";"102.61";"A";"102.64";"A"
"2019-06";"99.61";"A";"99.63";"A"
"2019-05";"105.3";"A";"105.36";"A"
"2019-04";"106.36";"A";"106.41";"A"
"2019-03";"110.23";"A";"110.25";"A"
"2019-02";"106.69";"A";"106.67";"A"
"2019-01";"107.2";"A";"107.23";"A"
"2018-12";"105.84";"A";"105.79";"A"
"2018-11";"104.55";"A";"104.55";"A"
"2018-10";"106.55";"A";"106.56";"A"
"2018-09";"112.82";"A";"112.85";"A"
"2018-08";"119.49";"A";"119.54";"A"
"2018-07";"102.56";"A";"102.61";"A"
"2018-06";"107.51";"A";"107.52";"A"
"2018-05";"108.7";"A";"108.71";"A"
"2018-04";"103.67";"A";"103.69";"A"
"2018-03";"103.13";"A";"103.17";"A"
"2018-02";"105.09";"A";"105.06";"A"
"2018-01";"104.17";"A";"104.19";"A"
