"idBank";"Dernière mise à jour";"IDBANK pour sdmx";"Autres regroupements";"Correction";"﻿Base de l'indice";"Zone géographique";"Nature";"Indicateur";"Activité";"Unité";"Puissance";"Périodicité"
"010767634";"05/04/2024 08:45";"BDM_EUR";"Sans objet";"Non corrigé";"2021";"France métropolitaine";"Indice";"Indice de la production industrielle";"10.52 - Fabrication de glaces et sorbets";"sans objet";"0";"Mensuelle"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
