"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Fabrication de glaces et sorbets (NAF rév. 2, niveau classe, poste 10.52)";"Codes"
"idBank";"010767635";""
"Dernière mise à jour";"05/04/2024 08:45";""
"Période";"";""
"2024-02";"112.12";"A"
"2024-01";"107.73";"A"
"2023-12";"131.12";"A"
"2023-11";"104.37";"A"
"2023-10";"99.49";"A"
"2023-09";"88.06";"A"
"2023-08";"103.74";"A"
"2023-07";"101.26";"A"
"2023-06";"103.46";"A"
"2023-05";"107.84";"A"
"2023-04";"99.23";"A"
"2023-03";"103.58";"A"
"2023-02";"109.51";"A"
"2023-01";"113.94";"A"
"2022-12";"119.68";"A"
"2022-11";"109.26";"A"
"2022-10";"126.96";"A"
"2022-09";"117.42";"A"
"2022-08";"116.61";"A"
"2022-07";"109.37";"A"
"2022-06";"106.8";"A"
"2022-05";"100.6";"A"
"2022-04";"107.21";"A"
"2022-03";"104.21";"A"
"2022-02";"99.78";"A"
"2022-01";"101.07";"A"
"2021-12";"84.52";"A"
"2021-11";"101.21";"A"
"2021-10";"95.98";"A"
"2021-09";"96.91";"A"
"2021-08";"82.95";"A"
"2021-07";"106.28";"A"
"2021-06";"104.95";"A"
"2021-05";"108.63";"A"
"2021-04";"102.34";"A"
"2021-03";"107.27";"A"
"2021-02";"107.13";"A"
"2021-01";"101.84";"A"
"2020-12";"93.81";"A"
"2020-11";"103.77";"A"
"2020-10";"98.45";"A"
"2020-09";"102.43";"A"
"2020-08";"91.6";"A"
"2020-07";"105.38";"A"
"2020-06";"100.55";"A"
"2020-05";"92.23";"A"
"2020-04";"68.93";"A"
"2020-03";"79.67";"A"
"2020-02";"98.09";"A"
"2020-01";"95.36";"A"
"2019-12";"95.08";"A"
"2019-11";"104.28";"A"
"2019-10";"102.14";"A"
"2019-09";"99.4";"A"
"2019-08";"104.63";"A"
"2019-07";"87.79";"A"
"2019-06";"91.1";"A"
"2019-05";"103.15";"A"
"2019-04";"100.11";"A"
"2019-03";"102.05";"A"
"2019-02";"96.17";"A"
"2019-01";"89.45";"A"
"2018-12";"112.86";"A"
"2018-11";"96.94";"A"
"2018-10";"101.19";"A"
"2018-09";"105.89";"A"
"2018-08";"105.36";"A"
"2018-07";"89.9";"A"
"2018-06";"102.82";"A"
"2018-05";"96.41";"A"
"2018-04";"90.91";"A"
"2018-03";"98.02";"A"
"2018-02";"94.46";"A"
"2018-01";"95.45";"A"
"2017-12";"80.91";"A"
"2017-11";"90.57";"A"
"2017-10";"93.42";"A"
"2017-09";"87.32";"A"
"2017-08";"96.71";"A"
"2017-07";"106.37";"A"
"2017-06";"101.11";"A"
"2017-05";"101.22";"A"
"2017-04";"100.28";"A"
"2017-03";"90.02";"A"
"2017-02";"97.74";"A"
"2017-01";"107.93";"A"
"2016-12";"96.45";"A"
"2016-11";"117.93";"A"
"2016-10";"89.81";"A"
"2016-09";"100.68";"A"
"2016-08";"88.38";"A"
"2016-07";"78.81";"A"
"2016-06";"86.73";"A"
"2016-05";"92.05";"A"
"2016-04";"103.73";"A"
"2016-03";"101.92";"A"
"2016-02";"98.84";"A"
"2016-01";"87.94";"A"
"2015-12";"95.76";"A"
"2015-11";"79.06";"A"
"2015-10";"97.98";"A"
"2015-09";"81.66";"A"
"2015-08";"104.99";"A"
"2015-07";"105.03";"A"
"2015-06";"96.9";"A"
"2015-05";"90.87";"A"
